subject_id,age,ethnicity_group,face_height_mm,face_width_mm,facial_index,head_length_mm,head_breadth_mm,cephalic_index,interpupillary_distance_mm,ear_width_mm,ear_length_mm,ear_anchor_offset_x_mm,ear_anchor_offset_y_mm,nose_width_mm,jaw_width_mm,neck_length_mm,neck_width_mm,face_shape,skin_tone_fitzpatrick
S0029,20,Indo-Nepalese,108.3,129.7,83.5,174.6,139.1,79.67,61.1,31.6,66.6,6.92,11.0,33.4,118.7,96.2,123.3,Diamond,Type_V
S0030,21,Indo-Nepalese,119.2,112.0,106.43,182.7,144.0,78.82,62.8,31.3,48.4,6.83,12.18,33.8,93.9,108.4,95.9,Diamond,Type_V
S0031,19,Indigenous-Nepalese,114.0,110.9,102.8,169.4,137.5,81.17,62.9,28.2,52.0,7.13,12.82,32.9,97.2,92.5,101.9,Oval,Type_V
S0032,21,Indo-Nepalese,112.0,120.5,92.95,178.3,136.3,76.44,58.2,31.1,54.9,6.62,14.23,36.0,104.6,96.8,111.4,Diamond,Type_V
S0033,22,Tibeto-Nepalese,118.1,110.7,106.68,190.8,152.2,79.77,61.2,30.3,48.9,8.17,15.9,36.1,106.9,94.2,101.8,Round,Type_III
S0034,19,Indo-Nepalese,118.0,135.6,87.02,176.5,135.1,76.54,65.5,34.6,60.8,8.87,15.12,30.6,118.1,91.5,122.2,Heart,Type_V
S0035,25,Tibeto-Nepalese,120.3,122.6,98.12,178.6,148.1,82.92,62.1,32.5,57.4,5.71,17.0,38.4,104.8,79.3,105.9,Heart,Type_IV
S0036,19,Tibeto-Nepalese,127.5,131.5,96.96,176.7,144.9,82.0,60.3,38.7,63.5,7.55,13.23,37.4,113.6,89.8,123.0,Heart,Type_III
S0037,24,Indigenous-Nepalese,112.7,111.8,100.81,192.8,158.1,82.0,56.9,30.9,50.5,7.22,17.92,36.4,99.9,101.1,100.0,Diamond,Type_V
S0038,22,Tibeto-Nepalese,114.5,129.6,88.35,177.1,135.0,76.23,61.1,35.3,62.8,8.68,17.78,33.5,112.8,115,106.6,Heart,Type_IV
S0039,20,Indigenous-Nepalese,119.8,125.2,95.69,180.3,146.9,81.48,62.2,35.3,50.9,6.94,14.0,32.7,105.0,99.7,104.4,Oval,Type_IV
S0040,22,Indigenous-Nepalese,120.8,129.1,93.57,181.3,134.8,74.35,62.0,35.5,58.2,7.88,15.35,33.1,114.8,109.0,114.5,Oval,Type_III
S0041,18,Tibeto-Nepalese,103.3,119.7,86.3,172.8,139.8,80.9,64.9,31.9,62.5,7.0,16.96,30.3,104.2,98.6,109.1,Diamond,Type_III
S0042,25,Indo-Nepalese,116.0,132.0,87.88,181.4,146.2,80.6,60.1,38.5,58.8,7.79,14.89,35.0,120.5,93.8,120.7,Oval,Type_IV
S0043,21,Tibeto-Nepalese,128.4,123.0,104.39,190.7,152.6,80.02,64.4,32.7,54.5,10.1,14.11,37.7,106.1,94.5,103.0,Oval,Type_III
S0044,21,Tibeto-Nepalese,124.6,130.1,95.77,175.3,144.6,82.49,63.2,32.4,62.7,6.15,14.12,34.6,109.6,94.3,112.1,Square,Type_V
S0045,19,Indo-Nepalese,116.6,118.7,98.23,182.5,141.2,77.37,59.6,32.0,56.9,7.63,12.24,32.8,106.5,89.8,109.9,Oblong,Type_III
S0046,24,Indo-Nepalese,120.9,122.5,98.69,200,161.6,80.8,62.7,34.9,58.8,10.0,11.77,34.2,93.9,101.1,94.4,Round,Type_V
S0047,25,Indo-Nepalese,126.2,119.1,105.96,192.8,135.3,70.18,60.5,32.1,57.1,8.23,10.72,37.2,98.0,90.3,95.1,Square,Type_IV
S0048,19,Indo-Nepalese,116.7,133.4,87.48,177.6,134.6,75.79,61.4,33.5,68,6.33,14.41,35.1,121.7,89.0,126.8,Heart,Type_III
S0049,18,Tibeto-Nepalese,119.3,125.0,95.44,176.8,137.3,77.66,58.2,38.6,64.9,8.54,12.48,30.4,107.0,106.5,102.7,Oval,Type_III
S0050,21,Indo-Nepalese,100.2,115.8,86.53,184.7,154.8,83.81,61.0,30.8,58.1,5.25,14.17,36.5,106.5,94.0,100.7,Round,Type_V
S0051,21,Tibeto-Nepalese,112.0,129.7,86.35,184.0,137.5,74.73,59.2,34.3,63.0,9.04,12.78,33.0,110.6,93.8,110.9,Oval,Type_IV
S0052,19,Indo-Nepalese,123.4,125.7,98.17,186.7,147.3,78.9,58.9,33.7,63.0,6.69,12.15,35.0,102.1,93.0,102.4,Square,Type_IV
S0053,22,Indigenous-Nepalese,121.9,123.3,98.86,181.5,153.0,84.3,62.8,34.5,56.0,10.57,14.25,35.7,107.2,100.6,103.2,Oval,Type_V
S0054,25,Indo-Nepalese,122.7,122.1,100.49,186.8,155.5,83.24,56.7,33.1,56.5,7.84,14.87,37.2,115.4,80.0,112.4,Square,Type_V
S0055,20,Tibeto-Nepalese,109.3,113.0,96.73,181.6,144.6,79.63,58.7,27.3,52.3,8.27,13.71,35.5,99.3,95.0,100.3,Oval,Type_IV
S0056,24,Indigenous-Nepalese,109.2,106.4,102.63,189.0,152.9,80.9,61.9,26,49.9,6.21,15.75,34.2,91.0,84.3,91.7,Heart,Type_V
S0057,22,Tibeto-Nepalese,117.4,135.8,86.45,180.0,145.2,80.67,62.1,30.5,62.8,8.12,14.34,31.1,115.6,89.1,108.8,Heart,Type_III
S0058,24,Indo-Nepalese,120.9,134.7,89.76,175.5,146.2,83.3,60.0,36.1,63.6,6.37,13.18,35.9,116.3,89.8,115.5,Oblong,Type_III
S0059,20,Tibeto-Nepalese,124.5,122.0,102.05,185.0,146.4,79.14,56.5,32.7,59.6,7.84,17.02,38.7,110.3,93.7,122.0,Heart,Type_III
S0060,20,Indigenous-Nepalese,118.6,130.0,91.23,177.2,130.4,73.59,65.4,35.4,58.5,8.24,15.78,32.9,112.7,99.0,117.3,Diamond,Type_III
S0061,18,Indigenous-Nepalese,109.5,130.6,83.84,178.9,137.6,76.91,59.6,36.6,65.3,6.31,13.08,33.5,113.6,102.4,112.3,Round,Type_III
S0062,18,Indigenous-Nepalese,124.9,131.0,95.34,181.3,135.5,74.74,63.5,37.0,54.0,8.45,12.31,37.0,115.5,86.0,124.0,Oblong,Type_V
S0063,18,Indo-Nepalese,114.8,121.8,94.25,180.7,132.1,73.1,60.9,32.4,53.1,7.97,14.93,34.6,113.6,75.5,114.9,Round,Type_III
S0064,25,Tibeto-Nepalese,129.4,109.4,118.28,177.8,148.6,83.58,66.2,29.9,50.6,6.81,16.44,37.4,101.1,92.8,110.5,Round,Type_IV
S0065,25,Indo-Nepalese,111.3,114.7,97.04,182.5,153.0,83.84,62.7,32.8,51.7,7.27,13.18,36.8,100.5,89.3,102.7,Square,Type_IV
S0066,19,Tibeto-Nepalese,125.9,121.5,103.62,181.6,135.1,74.39,65.2,31.6,68,7.0,13.21,35.2,101.8,100.5,109.9,Oval,Type_IV
S0067,22,Tibeto-Nepalese,101.4,109.2,92.86,173.1,133.2,76.95,61.6,29.2,53.0,8.14,12.57,33.3,90,93.7,93.5,Diamond,Type_III
S0068,18,Indo-Nepalese,123.5,128.2,96.33,182.1,151.1,82.98,63.9,34.7,65.4,7.31,13.35,33.3,108.5,106.7,118.3,Round,Type_V
S0069,20,Tibeto-Nepalese,123.2,133.4,92.35,190.4,142.7,74.95,60.3,36.7,68,8.12,12.45,34.3,113.4,88.6,122.5,Round,Type_III
S0070,18,Indo-Nepalese,117.9,119.0,99.08,182.6,147.8,80.94,63.5,32.6,54.7,6.67,12.29,35.7,107.0,84.3,108.4,Diamond,Type_V
S0071,24,Indigenous-Nepalese,122.3,127.1,96.22,181.3,147.2,81.19,66.1,31.0,59.4,7.87,15.66,32.0,104.5,97.7,103.7,Oval,Type_IV
S0072,21,Indigenous-Nepalese,122.9,125.7,97.77,183.5,146.8,80.0,57.4,35.7,53.5,7.85,16.28,31.4,112.0,89.2,113.7,Diamond,Type_III
S0073,19,Indigenous-Nepalese,118.1,130.2,90.71,183.0,158.4,86.56,66.8,33.2,56.9,10.19,13.37,36.5,117.9,89.2,117.8,Oblong,Type_IV
S0074,25,Indigenous-Nepalese,111.8,112.9,99.03,168.9,130,76.97,63.6,28.3,51.5,8.4,16.44,39.2,101.7,96.1,104.5,Oval,Type_V
S0075,20,Tibeto-Nepalese,116.7,136.3,85.62,185.7,149.3,80.4,61.8,35.6,65.0,8.15,15.89,32.2,121.8,112.7,117.2,Diamond,Type_IV
S0076,19,Indo-Nepalese,117.6,121.5,96.79,185.3,162.3,87.59,63.2,33.7,51.7,8.77,11.73,34.7,107.3,105.3,113.6,Round,Type_IV
S0077,23,Tibeto-Nepalese,117.5,122.5,95.92,181.8,151.4,83.28,61.3,30.3,52.9,10.79,10.49,34.9,105.9,93.7,104.1,Oval,Type_IV
S0078,25,Indigenous-Nepalese,125.5,128.5,97.67,184.7,144.7,78.34,56.6,32.3,58.6,6.66,14.86,34.2,118.0,101.5,121.8,Oval,Type_IV
S0079,20,Tibeto-Nepalese,106.6,107.2,99.44,172.8,137.4,79.51,64.5,31.9,52.5,7.67,16.15,39.3,93.7,86.3,100.4,Oval,Type_V
S0080,23,Tibeto-Nepalese,129.3,123.4,104.78,191.1,162.7,85.14,58.9,29.7,60.4,7.29,15.1,32.5,109.4,105.1,122.5,Diamond,Type_III
S0081,25,Indo-Nepalese,113.6,110.9,102.43,182.2,135.3,74.26,60.1,31.1,55.7,9.91,12.45,31.8,98.2,102.1,100.9,Round,Type_IV
S0082,25,Indigenous-Nepalese,119.6,113.6,105.28,178.6,145.1,81.24,64.1,29.0,48,8.39,14.87,34.9,101.9,90.6,103.6,Square,Type_III
S0083,22,Indigenous-Nepalese,117.3,128.8,91.07,179.5,139.6,77.77,63.1,35.5,59.1,8.95,13.87,36.1,114.7,91.8,120.8,Oval,Type_IV
S0084,24,Indigenous-Nepalese,119.6,118.1,101.27,200,159.5,79.75,62.5,31.3,61.5,8.89,14.05,37.0,98.4,85.8,97.4,Round,Type_V
S0085,21,Indigenous-Nepalese,120.2,125.7,95.62,177.1,143.9,81.25,60.1,28.3,59.0,9.21,13.76,33.8,111.9,88.0,122.9,Oblong,Type_V
S0086,20,Indigenous-Nepalese,116.7,125.9,92.69,182.9,154.2,84.31,56.3,35.0,60.8,8.38,16.8,36.4,108.8,86.6,117.9,Heart,Type_V
S0087,21,Indigenous-Nepalese,117.0,122.6,95.43,183.8,140.2,76.28,59.2,36.0,48,8.98,14.87,37.4,112.1,90.0,109.5,Square,Type_IV
S0088,24,Tibeto-Nepalese,118.7,116.5,101.89,183.0,155.3,84.86,59.7,29.6,50.1,8.79,14.97,30.5,106.4,115,106.1,Heart,Type_IV
S0089,21,Indo-Nepalese,126.1,133.5,94.46,185.6,138.7,74.73,58.4,36.2,64.1,11.06,12.45,37.6,119.2,82.5,117.7,Oblong,Type_V
S0090,20,Tibeto-Nepalese,109.4,125.3,87.31,192.8,153.4,79.56,64.9,33.3,62.9,8.03,14.12,34.7,106.0,95.2,111.7,Heart,Type_IV
S0091,24,Indigenous-Nepalese,109.1,116.4,93.73,171.6,149.3,87.0,62.4,30.3,58.3,5.7,14.21,33.8,103.7,85.7,106.4,Oval,Type_V
S0092,22,Tibeto-Nepalese,110.4,124.1,88.96,176.2,143.7,81.56,60.5,28.8,60.1,8.31,15.77,32.1,106.9,87.2,98.2,Oval,Type_V
S0093,22,Indo-Nepalese,116.6,118.5,98.4,193.8,162.1,83.64,61.2,30.5,58.4,8.85,14.95,32.8,99.3,92.0,106.4,Round,Type_IV
S0094,20,Indigenous-Nepalese,107.8,117.0,92.14,175.3,143.5,81.86,64.0,30.2,50.6,7.61,15.93,28,108.8,92.9,108.5,Square,Type_V
S0095,18,Indo-Nepalese,109.9,114.6,95.9,187.7,147.4,78.53,65.3,30.2,48,8.25,16.8,35.7,97.5,90.2,101.9,Heart,Type_V
S0096,21,Tibeto-Nepalese,110.2,118.2,93.23,184.9,134.9,72.96,60.0,30.3,62.2,6.83,15.21,34.6,107.0,105.8,108.2,Oval,Type_IV
S0097,21,Tibeto-Nepalese,113.6,123.0,92.36,185.0,147.5,79.73,65.0,32.7,53.7,7.59,12.38,34.0,107.9,96.5,112.2,Diamond,Type_III
S0098,24,Indigenous-Nepalese,122.1,115.8,105.44,190.4,146.5,76.94,56.1,31.4,54.7,6.88,12.12,36.4,105.3,100.3,104.2,Oval,Type_V
S0099,18,Tibeto-Nepalese,114.7,127.0,90.31,178.0,152.8,85.84,63.3,32.6,60.2,8.05,11.84,33.9,114.3,90.5,108.1,Heart,Type_V
S0100,24,Tibeto-Nepalese,125.7,121.9,103.12,186.3,130,69.78,56.7,31.7,55.1,8.19,11.75,37.1,108.1,103.4,106.6,Heart,Type_III
S0101,18,Indigenous-Nepalese,99.4,112.6,88.28,185.1,144.0,77.8,64.2,31.7,51.9,9.54,11.17,36.0,100.8,91.7,102.7,Round,Type_V
S0102,19,Tibeto-Nepalese,108.9,111.7,97.49,174.0,130,74.71,63.4,29.6,61.5,7.96,13.73,38.1,97.6,96.3,98.1,Square,Type_IV
S0103,20,Tibeto-Nepalese,112.9,118.6,95.19,192.7,150.2,77.94,60.1,31.8,57.3,7.87,15.03,34.6,104.5,86.9,107.4,Square,Type_V
S0104,23,Tibeto-Nepalese,114.5,115.4,99.22,191.6,145.2,75.78,57.4,26.9,49.6,7.97,13.69,37.3,105.7,77.3,101.9,Round,Type_IV
S0105,24,Indigenous-Nepalese,123.9,114.2,108.49,182.8,154.2,84.35,60.8,28.5,53.2,8.7,16.68,33.1,99.9,88.9,107.2,Oblong,Type_III
S0106,22,Indigenous-Nepalese,112.4,137.0,82.04,167.8,132.6,79.02,63.4,31.8,61.5,8.61,16.85,36.6,117.9,86.2,115.8,Heart,Type_V
S0107,21,Tibeto-Nepalese,116.5,123.1,94.64,175.5,146.2,83.3,59.2,32.2,61.3,8.46,12.62,34.8,108.7,89.3,108.0,Round,Type_III
S0108,19,Indo-Nepalese,118.8,123.8,95.96,176.6,135.4,76.67,60.7,33.9,50.2,8.06,18.07,30.6,108.0,89.2,113.6,Oval,Type_III
S0109,23,Indigenous-Nepalese,118.6,130.4,90.95,179.6,141.7,78.9,63.9,39.8,55.9,7.36,14.93,39.9,113.1,98.3,109.6,Oblong,Type_III
S0110,22,Indo-Nepalese,106.2,127.5,83.29,200,158.6,79.3,62.6,36.3,60.5,7.62,12.0,37.7,104.2,102.0,101.8,Oval,Type_V
S0111,19,Tibeto-Nepalese,121.1,121.6,99.59,195.3,165.6,84.79,60.0,32.3,59.1,7.06,14.27,38.5,109.9,110.8,113.5,Oblong,Type_III
S0112,18,Tibeto-Nepalese,119.2,123.0,96.91,171.3,130,75.89,55.0,34.0,58.3,8.09,9.74,34.2,104.2,84.4,102.5,Oval,Type_IV
S0113,23,Tibeto-Nepalese,120.3,123.8,97.17,177.8,142.7,80.26,62.1,34.3,57.6,7.83,13.76,33.6,116.0,98.9,120.3,Square,Type_V
S0114,20,Tibeto-Nepalese,133.3,142.3,93.68,177.8,141.1,79.36,62.9,40,68,7.61,15.18,36.7,126.5,89.0,135,Round,Type_V
S0115,25,Indigenous-Nepalese,113.1,130.6,86.6,186.3,155.3,83.36,62.2,35.4,57.9,7.57,14.47,33.4,117.0,100.2,116.7,Oblong,Type_III
S0116,21,Indigenous-Nepalese,111.8,124.5,89.8,182.8,146.0,79.87,64.0,28.1,67.5,10.73,13.95,36.5,110.1,97.1,111.4,Diamond,Type_IV
S0117,20,Indigenous-Nepalese,119.6,138.4,86.42,179.9,147.2,81.82,68.1,36.9,61.9,7.87,10.36,37.0,121.5,104.6,125.9,Round,Type_V
S0118,20,Indo-Nepalese,107.5,127.8,84.12,174.2,148.0,84.96,59.0,34.1,57.2,9.16,16.03,34.0,109.4,94.6,112.2,Diamond,Type_V
S0119,24,Indigenous-Nepalese,113.8,132.4,85.95,178.7,147.7,82.65,57.6,30.3,65.6,8.66,14.08,33.9,113.7,90.1,103.7,Oval,Type_III
S0120,23,Indigenous-Nepalese,115.6,115.0,100.52,181.6,137.4,75.66,61.4,29.4,53.6,7.51,10.77,36.2,97.8,93.2,96.0,Oval,Type_IV
S0121,19,Indigenous-Nepalese,116.3,114.4,101.66,173.5,137.2,79.08,69.5,31.2,53.9,8.75,15.09,35.9,99.9,93.3,107.0,Round,Type_IV
S0122,18,Indigenous-Nepalese,112.9,131.1,86.12,176.1,141.4,80.3,65.4,34.2,62.8,8.41,15.3,32.2,115.2,95.3,115.3,Oval,Type_IV
S0123,20,Indigenous-Nepalese,108.8,110.7,98.28,187.5,157.8,84.16,61.6,28.1,55.6,5.49,12.56,36.4,98.5,87.3,93.0,Square,Type_IV
S0124,24,Indo-Nepalese,123.6,135.6,91.15,172.6,143.0,82.85,59.0,38.5,63.1,6.75,15.35,34.5,120.0,92.0,118.3,Heart,Type_V
S0125,18,Tibeto-Nepalese,120.0,128.0,93.75,179.9,148.2,82.38,61.1,32.5,56.2,8.58,15.98,35.0,121.7,101.1,125.5,Diamond,Type_V
S0126,22,Indigenous-Nepalese,110.4,123.6,89.32,175.1,140.7,80.35,61.2,33.9,59.0,8.88,14.11,36.0,108.0,92.4,112.3,Oval,Type_V
S0127,22,Indo-Nepalese,117.8,114.3,103.06,184.1,150.3,81.64,63.4,31.8,50.9,8.55,14.03,35.9,93.2,90.9,91.3,Diamond,Type_IV
S0128,21,Indigenous-Nepalese,114.6,117.4,97.61,174.5,130.4,74.73,60.6,29.2,55.5,8.04,15.27,32.8,101.9,94.0,103.6,Square,Type_III
S0129,21,Tibeto-Nepalese,113.6,115.3,98.53,177.5,162.5,91.55,60.3,34.5,54.7,8.37,15.34,33.2,103.5,97.8,99.3,Oval,Type_V
S0130,21,Indigenous-Nepalese,117.2,128.8,90.99,178.0,138.9,78.03,64.5,32.7,55.1,9.31,11.3,31.5,111.4,94.5,106.1,Heart,Type_IV
S0131,20,Tibeto-Nepalese,116.6,124.5,93.65,182.9,136.7,74.74,54.3,33.2,54.5,7.45,14.77,30.6,105.5,90.4,103.1,Diamond,Type_IV
S0132,22,Tibeto-Nepalese,110.8,126.6,87.52,187.7,145.2,77.36,63.8,34.8,51.5,6.7,14.01,35.8,113.1,101.0,120.0,Oblong,Type_III
S0133,19,Tibeto-Nepalese,127.5,117.1,108.88,191.3,136.6,71.41,62.7,33.6,55.2,7.91,16.22,35.8,94.0,95.3,96.6,Heart,Type_V
S0134,24,Tibeto-Nepalese,114.3,114.2,100.09,182.4,142.3,78.02,58.8,31.3,53.5,8.16,15.83,31.7,99.3,98.9,100.3,Round,Type_IV
S0135,25,Tibeto-Nepalese,119.3,113.6,105.02,188.4,150.6,79.94,56.3,29.4,54.7,8.92,17.34,34.4,97.2,94.7,103.8,Oblong,Type_IV
S0136,20,Indigenous-Nepalese,114.4,116.5,98.2,190.1,147.2,77.43,61.8,32.4,59.3,7.11,12.99,38.1,101.2,102.5,104.3,Oval,Type_IV
S0137,18,Tibeto-Nepalese,118.5,121.1,97.85,183.7,147.1,80.08,64.3,36.0,49.4,7.01,15.71,33.4,106.9,98.9,107.1,Oblong,Type_V
S0138,19,Indo-Nepalese,120.0,121.3,98.93,184.5,134.0,72.63,61.1,28.9,52.1,8.18,14.11,35.2,102.3,93.5,100.6,Round,Type_III
S0139,22,Indigenous-Nepalese,126.6,138.0,91.74,176.4,137.9,78.17,59.5,37.6,68,8.85,10.04,32.3,114.7,98.9,117.0,Oblong,Type_III
S0140,23,Indo-Nepalese,126.9,126.4,100.4,174.4,136.4,78.21,65.9,36.5,57.9,8.85,13.58,32.3,113.8,96.2,119.9,Diamond,Type_IV
S0141,18,Indo-Nepalese,119.5,128.2,93.21,181.4,145.7,80.32,64.3,32.4,57.5,8.82,15.13,33.6,105.8,79.4,99.7,Oblong,Type_III
S0142,24,Indo-Nepalese,111.9,132.3,84.58,183.3,141.2,77.03,63.2,40,63.1,8.03,14.95,36.0,119.8,97.2,116.3,Heart,Type_III
S0143,20,Tibeto-Nepalese,124.5,116.3,107.05,169.4,147.5,87.07,63.7,36.5,51.7,7.97,13.09,35.3,100.4,89.4,106.7,Square,Type_V
S0144,21,Tibeto-Nepalese,112.9,117.7,95.92,179.0,145.7,81.4,60.7,28.4,54.7,7.74,17.07,32.5,105.8,89.1,106.4,Heart,Type_V
S0145,19,Indigenous-Nepalese,129.1,130.9,98.62,177.5,151.4,85.3,65.2,37.0,58.0,9.08,13.81,35.8,112.8,100.0,120.1,Square,Type_IV
S0146,24,Tibeto-Nepalese,120.0,133.0,90.23,167.7,136.5,81.4,61.0,35.3,63.2,7.24,11.6,33.7,119.0,88.7,115.2,Round,Type_IV
S0147,23,Indigenous-Nepalese,120.6,129.4,93.2,180.7,154.4,85.45,63.0,38.3,55.8,8.93,11.25,36.6,116.1,105.2,112.2,Round,Type_V
S0148,21,Indigenous-Nepalese,108.8,120.4,90.37,182.1,155.4,85.34,59.9,27.0,52.2,9.56,15.98,32.3,98.3,102.0,96.6,Diamond,Type_III
S0149,21,Indigenous-Nepalese,125.5,134.8,93.1,185.8,164.6,88.59,62.3,34.7,61.6,6.87,13.95,30.9,116.9,98.2,123.9,Square,Type_V
S0150,25,Indigenous-Nepalese,126.2,121.2,104.13,185.6,140.5,75.7,63.5,33.4,55.8,8.03,13.46,33.8,99.1,94.3,106.1,Diamond,Type_III
S0151,22,Indo-Nepalese,116.5,128.7,90.52,180.2,146.8,81.47,61.0,33.2,58.3,6.72,11.2,35.4,117.9,95.4,124.8,Diamond,Type_IV
S0152,20,Indigenous-Nepalese,123.1,132.5,92.91,189.0,144.2,76.3,67.0,31.0,59.8,8.86,16.33,33.1,112.7,96.4,106.5,Oval,Type_V
S0153,22,Indo-Nepalese,120.1,120.5,99.67,187.3,152.1,81.21,63.4,35.6,54.6,8.19,13.09,37.2,103.4,98.5,106.0,Heart,Type_III
S0154,23,Indigenous-Nepalese,114.2,124.5,91.73,180.7,136.9,75.76,62.2,34.3,62.9,10.69,14.21,33.1,104.2,105.0,103.9,Square,Type_V
S0155,21,Indo-Nepalese,118.3,125.2,94.49,184.0,133.3,72.45,61.5,34.9,53.5,6.23,14.98,34.4,110.5,81.2,112.5,Round,Type_V
S0156,23,Tibeto-Nepalese,116.8,116.9,99.91,185.8,161.0,86.65,59.1,31.1,56.0,9.69,16.02,42,94.6,93.0,97.2,Round,Type_IV
S0157,24,Tibeto-Nepalese,95.5,120.8,79.06,174.1,133.4,76.62,63.3,33.5,60.1,9.3,9.93,38.5,107.5,88.1,110.5,Oval,Type_V
S0158,24,Indo-Nepalese,115.7,131.6,87.92,192.1,145.7,75.85,61.9,33.5,65.4,6.87,11.09,36.2,113.1,92.7,120.1,Oblong,Type_V
